anime_id,title_romaji,title_english,title_native,season,season_year,type,format,status,episodes,duration,average_score,popularity,favorites,genres,country,source_material,studio,start_year,start_month,start_day
1,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,SPRING,1998.0,ANIME,TV,FINISHED,26.0,24,86,452770,32061,"Action, Adventure, Drama, Sci-Fi",JP,ORIGINAL,Sunrise,1998,4.0,3.0
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie - Knockin' on Heaven's Door,カウボーイビバップ天国の扉,SUMMER,2001.0,ANIME,MOVIE,FINISHED,1.0,115,82,82329,1733,"Action, Drama, Mystery, Sci-Fi",JP,ORIGINAL,bones,2001,9.0,1.0
6,TRIGUN,Trigun,TRIGUN,SPRING,1998.0,ANIME,TV,FINISHED,26.0,24,80,165105,7007,"Action, Adventure, Comedy, Drama, Sci-Fi",JP,MANGA,MADHOUSE,1998,4.0,1.0
7,Witch Hunter ROBIN,Witch Hunter ROBIN,Witch Hunter ROBIN,SUMMER,2002.0,ANIME,TV,FINISHED,26.0,25,68,23586,295,"Action, Drama, Mystery, Supernatural",JP,ORIGINAL,Sunrise,2002,7.0,2.0
8,Bouken Ou Beet,Beet the Vandel Buster,冒険王ビィト,FALL,2004.0,ANIME,TV,FINISHED,52.0,23,65,3126,43,"Adventure, Fantasy, Supernatural",JP,MANGA,Toei Animation,2004,9.0,30.0
15,Eyeshield 21,Eyeshield 21,アイシールド21,SPRING,2005.0,ANIME,TV,FINISHED,145.0,23,76,33231,807,"Action, Comedy, Sports",JP,MANGA,Studio Gallop,2005,4.0,6.0
16,Hachimitsu to Clover,Honey and Clover,ハチミツとクローバー,SPRING,2005.0,ANIME,TV,FINISHED,24.0,23,76,57578,1007,"Comedy, Drama, Romance, Slice of Life",JP,MANGA,J.C.STAFF,2005,4.0,15.0
17,Hungry Heart: Wild Striker,,ハングリーハート Wild Striker,FALL,2002.0,ANIME,TV,FINISHED,52.0,23,72,4769,88,"Comedy, Slice of Life, Sports",JP,MANGA,Nippon Animation,2002,9.0,11.0
18,Initial D FOURTH STAGE,Initial D 4th Stage,頭文字[イニシャル]D FOURTH STAGE,SPRING,2004.0,ANIME,TV,FINISHED,24.0,27,80,48793,1013,"Action, Drama, Sports",JP,MANGA,A.C.G.T.,2004,4.0,17.0
19,MONSTER,Monster,MONSTER,SPRING,2004.0,ANIME,TV,FINISHED,74.0,24,88,326621,23446,"Drama, Horror, Mystery, Psychological, Thriller",JP,MANGA,MADHOUSE,2004,4.0,7.0
20,NARUTO,Naruto,NARUTO -ナルト-,FALL,2002.0,ANIME,TV,FINISHED,220.0,23,80,698985,40599,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",JP,MANGA,Studio Pierrot,2002,10.0,3.0
21,ONE PIECE,ONE PIECE,ONE PIECE,FALL,1999.0,ANIME,TV,RELEASING,,24,87,717491,104842,"Action, Adventure, Comedy, Drama, Fantasy",JP,MANGA,Toei Animation,1999,10.0,20.0
22,Tennis no Ouji-sama,The Prince of Tennis,テニスの王子様,FALL,2001.0,ANIME,TV,FINISHED,178.0,22,75,35355,765,"Action, Comedy, Sports",JP,MANGA,Production I.G,2001,10.0,10.0
23,Ring ni Kakero 1,,リングにかけろ１,FALL,2004.0,ANIME,TV,FINISHED,12.0,25,60,1681,24,"Action, Sports",JP,MANGA,Toei Animation,2004,10.0,6.0
24,School Rumble,School Rumble,スクールランブル,FALL,2004.0,ANIME,TV,FINISHED,26.0,23,76,58172,1253,"Comedy, Romance, Slice of Life",JP,MANGA,Studio Comet,2004,10.0,5.0
25,Sunabouzu,Desert Punk,砂ぼうず,FALL,2004.0,ANIME,TV,FINISHED,24.0,24,69,29128,407,"Action, Adventure, Comedy, Ecchi, Sci-Fi",JP,MANGA,GONZO,2004,10.0,6.0
26,TEXHNOLYZE,Texhnolyze,TEXHNOLYZE,SPRING,2003.0,ANIME,TV,FINISHED,22.0,23,76,82472,3065,"Action, Drama, Psychological, Sci-Fi",JP,ORIGINAL,MADHOUSE,2003,4.0,17.0
27,Trinity Blood,Trinity Blood,トリニティ・ブラッド,SPRING,2005.0,ANIME,TV,FINISHED,24.0,24,68,29072,1593,"Action, Drama, Horror, Sci-Fi, Supernatural",JP,LIGHT_NOVEL,GONZO,2005,4.0,29.0
28,Yakitate!! Japan,,焼きたて!! ジャぱん,FALL,2004.0,ANIME,TV,FINISHED,69.0,24,75,19682,354,Comedy,JP,MANGA,Sunrise,2004,10.0,12.0
29,Zipang,,ジパング,FALL,2004.0,ANIME,TV,FINISHED,26.0,24,72,6434,73,"Action, Sci-Fi",JP,MANGA,Studio DEEN,2004,10.0,7.0
30,Shin Seiki Evangelion,Neon Genesis Evangelion,新世紀エヴァンゲリオン,FALL,1995.0,ANIME,TV,FINISHED,26.0,24,83,475362,42090,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi",JP,ORIGINAL,Gainax,1995,10.0,3.0
31,Shin Seiki Evangelion Movie: Shi to Shinsei,Neon Genesis Evangelion: Death & Rebirth,新世紀エヴァンゲリオン劇場版 シト新生,WINTER,1997.0,ANIME,MOVIE,FINISHED,1.0,104,73,60088,711,"Drama, Mecha, Psychological, Sci-Fi",JP,ORIGINAL,Gainax,1997,3.0,15.0
32,"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni",Neon Genesis Evangelion: The End of Evangelion,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,SUMMER,1997.0,ANIME,MOVIE,FINISHED,1.0,87,85,243950,18879,"Action, Drama, Mecha, Psychological, Sci-Fi",JP,ORIGINAL,Gainax,1997,7.0,19.0
33,Kenpuu Denki Berserk,Berserk,剣風伝奇ベルセルク,FALL,1997.0,ANIME,TV,FINISHED,25.0,25,84,175804,11208,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",JP,MANGA,OLM,1997,10.0,7.0
43,GHOST IN THE SHELL: Koukaku Kidoutai,Ghost in the Shell,GHOST IN THE SHELL / 攻殻機動隊,FALL,1995.0,ANIME,MOVIE,FINISHED,1.0,83,80,168648,6971,"Action, Psychological, Sci-Fi",JP,MANGA,Production I.G,1995,11.0,18.0
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,るろうに剣心―明治剣客浪漫譚―追憶編,WINTER,1999.0,ANIME,OVA,FINISHED,4.0,30,85,46441,2185,"Action, Drama, Romance",JP,MANGA,Studio DEEN,1999,2.0,20.0
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,るろうに剣心 -明治剣客浪漫譚-,WINTER,1996.0,ANIME,TV,FINISHED,94.0,25,79,88018,2643,"Action, Adventure, Comedy, Drama, Romance",JP,MANGA,Studio Gallop,1996,1.0,10.0
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Requiem,Samurai X: The Motion Picture,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,FALL,1997.0,ANIME,MOVIE,FINISHED,1.0,91,71,8996,65,"Action, Drama",JP,MANGA,Studio Gallop,1997,12.0,20.0
47,AKIRA,Akira,AKIRA,SUMMER,1988.0,ANIME,MOVIE,FINISHED,1.0,125,79,223505,8671,"Action, Adventure, Horror, Psychological, Sci-Fi, Supernatural",JP,MANGA,Tokyo Movie Shinsha,1988,7.0,16.0
